name,ring,quadrant,isNew,description
Google Cloud Storge,Adopt,Techniques,FALSE,"Kostnadseffektiv Lagringsteknologi som støtter mange funksjoner som f.eks. versjonering, automatisk tidsinstilit sletting, sikkerhet m.m.<br>Mer info her:<a href=""https://cloud.google.com/storage"">GCS</a>"
Google PubSub,Adopt,Techniques,FALSE,"Moden og stabil teknologi for innmsaling av data som hendelser i en strøm. Kan også brukes som meldingsformidler eller Køsystem. Flere prosjekter i SSB bruker PubSub.<br>Mer info her:<a href=""https://cloud.google.com/pubsub"">PubSub</a>"
Google BigQuery,Trial,Techniques,FALSE,"Populær og superskalerbar databaseteknologi for lagring av data. Kan også brukes til Platforms og utforsking av data. Egner seg først og fremst for OLAP (Online Analytical processing) i motseting til OLTP (Online transaction processing). For sistnevnte bør man Assesse andre teknologier. BQ støtter SQL og kan kombineres med flere tjenester fra Google, noe som kan være en fordel i enkelte situasjoner.<br>Mer info her:<a href=""https://cloud.google.com/bigquery"">BigQuery</a>"
Google DataStore,Assess,Techniques,FALSE,"Skalerbar teknologi for NoSQL databaser<br>Mer info her:<a href=""https://cloud.google.com/datastore"">DataStore</a>"
Google CloudSQL,Trial,Techniques,FALSE,"Selvbetejent relasjonsdatabseløsning fra Google som tilbyr MySQL,PostgreSQL og SQL Server <br>Mer info her:<a href=""https://cloud.google.com/sql"">CloudSQL</a>"
Parquet,Adopt,Techniques,TRUE,"Parquet er et Open Source, kolonneorientert filformat som er laget for effektiv håndtering av store store datamengder. Parquet er kompatibelt med de fleste Bigdata plattformer og rammeverk og er også et anbefalt lagringsformat i SSB. <br>Mer info her:<a href=""https://parquet.apache.org"">Parquet</a>"
AVRO,Adopt,Techniques,TRUE,"Apache AVRO er et Open Source filformat som er laget for effektiv håndtering av store store datamengder. AVRO er kompatibelt med de fleste Bigdata plattformer og rammeverk og er også et anbefalt lagringsformat i SSB. AVRO har innebygd støtte for skjemadefinisjoner og hierarkiske strukturer. <br>Mer info her:<a href=""https://avro.apache.org/docs/current/"">AVRO</a>"
JSON,Adopt,Techniques,TRUE,"JSON er et enkelt datautvekslings- og lagringsformat som er lesbart for både mennesker og maskiner. JSON støtter hierarkiske strukturer og bruk av skjema (json schema). JSON et anbefalt dataformat i SSB. <br>Mer info her:<a href=""https://www.json.org/json-en.html"">JSON</a>"
XML,Adopt,Techniques,TRUE,"XML er et enkelt og utvidbart datautvekslings- og lagringsformat som er lesbart for både mennesker og maskiner. XML et anbefalt dataformat i SSB. XML støtter hierarkiske strukturer og skjemadefinisjon med xsd. <br>Mer info her:<a href=""https://developer.mozilla.org/en-US/docs/Web/XML/XML_introduction"">XML</a>"
CSV,Adopt,Techniques,TRUE,"CSV er et enkelt datautvekslings- og lagringsformat som er lesbart for både mennesker og maskiner. CSV et anbefalt dataformat i SSB. CSV filer har en flat struktur og støtter ikke hierarkiske strukturer eller skjemadefinisjoner. <br>Mer info her:<a href=""https://en.wikipedia.org/wiki/Comma-separated_values"">CSV</a>"
Cloud Composer,Assess,Platforms,FALSE,"Denne tjenesten fra Google bygger på Apache Airflow for orkestrering av pipeline i Python. Med denne teknologien kan man automatisere produksjonsløp og samtidig få et brukergrensesnitt hvor man kan monitorere kjøringene. <br>Mer info her:<a href=""https://cloud.google.com/composer"">Cloud Composer</a>"
Google Cloud DLP,Assess,Platforms,FALSE,"Relativ ny teknologi fra Google for å verne sensitive data. Kan f.eks. brukes til pseudonymisering av data. <br>Mer info her:<a href=""https://cloud.google.com/dlp"">DLP</a>"
