name,ring,quadrant,isNew,description
Google Cloud Storage,Ta i bruk,Infrastruktur,FALSE,"Kostnadseffektiv Lagringsteknologi som støtter mange funksjoner som f.eks. versjonering, automatisk tidsinstilit sletting, sikkerhet m.m.<br>Mer info her:<a href=""https://cloud.google.com/storage"">GCS</a>"
Google PubSub,Ta i bruk,Infrastruktur,FALSE,"Moden og stabil teknologi for innmsaling av data som hendelser i en strøm. Kan også brukes som meldingsformidler eller Køsystem. Flere prosjekter i SSB bruker PubSub.<br>Mer info her:<a href=""https://cloud.google.com/pubsub"">PubSub</a>"
Google BigQuery,Prøv ut,Infrastruktur,FALSE,"Populær og superskalerbar databaseteknologi for lagring av data. Kan også brukes til klargjøring og utforsking av data. Egner seg først og fremst for OLAP (Online Analytical processing) i motseting til OLTP (Online transaction processing). For sistnevnte bør man vurdere andre teknologier. BQ støtter SQL og kan kombineres med flere tjenester fra Google, noe som kan være en fordel i enkelte situasjoner.<br>Mer info her:<a href=""https://cloud.google.com/bigquery"">BigQuery</a>"
Google DataStore,Avvent,Infrastruktur,FALSE,"Skalerbar teknologi for NoSQL databaser<br>Mer info her:<a href=""https://cloud.google.com/datastore"">DataStore</a>"
Google CloudSQL,Ta i bruk,Infrastruktur,FALSE,"Selvbetejent relasjonsdatabseløsning fra Google som tilbyr MySQL,PostgreSQL og SQL Server <br>Mer info her:<a href=""https://cloud.google.com/sql"">CloudSQL</a>"
Cloud Composer,Avvent,Infrastruktur,FALSE,"Denne tjenesten fra Google bygger på Apache Airflow for orkestrering av pipeline i Python. Med denne teknologien kan man automatisere produksjonsløp og samtidig få et brukergrensesnitt hvor man kan monitorere kjøringene. <br>Mer info her:<a href=""https://cloud.google.com/composer"">Cloud Composer</a>"
Google Cloud DLP,Avvent,Infrastruktur,FALSE,"Relativ ny teknologi fra Google for å verne sensitive data. Kan f.eks. brukes til pseudonymisering av data. <br>Mer info her:<a href=""https://cloud.google.com/dlp"">DLP</a>"
Grafana,Ta i bruk,DevOps,FALSE,"Teknologi for å visulalisere data fra mange ulike kilder. Mest brukt til å visualisere logger og metrikker. Brukerne lage egne fleksible dashboard. <br>Mer info her:<a href=""https://grafana.com"">Grafana</a>"
Github,Ta i bruk,DevOps,FALSE,"Teknologi for å koordinere prosjekter"
Terraform,Ta i bruk,Programmering,FALSE,"Infrastruktur som kode som gjør at man kan bygge, endre og versjonere infrastruktur raskt og effektivt <br>Mer info her:<a href=""https://www.terraform.io"">Terraform</a>"
MOVEit,Ta i bruk,Infrastruktur,FALSE,"Overføring av filer på bakkenivå"
Apache Spark,Ta i bruk,Programmering,FALSE,"Teknologi for minnebasert distribuert prosessering i klynger eller prosessering på enkel noder. Koden kan skrives i flere språk. Denne teknologien er en del av DAPLA. <br>Mer info her:<a href=""https://spark.apache.org"">Apache Spark</a>"
NuGet,Ta i bruk,DevOps,TRUE,"Defacto standard-verktøy for pakkehåndtering og kodedeling i .NET som kan brukes i .Net baserte prosjekter både i PxWeb og Altinn. <br>Mer info her:<a href=""https://www.nuget.org"">NuGet</a>"
Poetry,Ta i bruk,DevOps,TRUE,"Brukervennlig verktøy for å håndtere Python prosjekter. Utbredt bruk både blant utviklerteam og statistikkteam. <br>Mer info her:<a href=""https://python-poetry.org/"">Poetry</a>"
Google Artifact Registry,Ta i bruk,DevOps,TRUE,"Lagring og distribusjon av artifakter i SSB."
